id,ride_style,speed,poster,staff,time,is_female,is_staff,is_raining,day,week,total_passenger,total_passenger_per_minute
423,ls,0,0,0,44,1,0,0,Tue,1,334,33
424,ls,0,0,0,44,0,0,0,Tue,1,334,33
425,rw,0,0,0,44,0,0,0,Tue,1,334,33
426,ls,0,0,0,44,0,0,0,Tue,1,334,33
427,rw,0,0,0,44,1,0,0,Tue,1,334,33
428,ls,0,0,0,44,0,0,0,Tue,1,334,33
429,ls,0,0,0,44,0,0,0,Tue,1,334,33
430,ls,0,0,0,44,1,0,0,Tue,1,334,33
431,ls,0,0,0,44,0,0,0,Tue,1,334,33
432,ls,0,0,0,44,1,0,0,Tue,1,334,33
433,ls,0,0,0,44,0,0,0,Tue,1,334,33
434,ls,0,0,0,44,1,0,0,Tue,1,334,33
435,ls,0,0,0,44,0,0,0,Tue,1,334,33
436,ls,0,0,0,44,1,0,0,Tue,1,334,33
437,rw,0,0,0,44,1,0,0,Tue,1,334,33
438,ls,0,0,0,44,0,0,0,Tue,1,334,33
439,rw,0,0,0,44,1,0,0,Tue,1,334,33
440,rw,0,0,0,44,1,0,0,Tue,1,334,33
441,ls,0,0,0,44,1,0,0,Tue,1,334,33
442,ls,0,0,0,44,1,0,0,Tue,1,334,33
443,ls,0,0,0,45,1,0,0,Tue,1,334,29
444,ls,0,0,0,45,1,0,0,Tue,1,334,29
445,ls,0,0,0,45,1,0,0,Tue,1,334,29
446,ls,0,0,0,45,1,0,0,Tue,1,334,29
447,ls,0,0,0,45,1,0,0,Tue,1,334,29
448,ls,0,0,0,45,1,0,0,Tue,1,334,29
449,ls,0,0,0,45,1,0,0,Tue,1,334,29
450,ls,0,0,0,45,1,0,0,Tue,1,334,29
451,ls,0,0,0,45,1,0,0,Tue,1,334,29
452,ls,0,0,0,45,1,0,0,Tue,1,334,29
453,ls,0,0,0,45,1,0,0,Tue,1,334,29
454,ls,0,0,0,45,1,0,0,Tue,1,334,29
455,ls,0,0,0,45,1,0,0,Tue,1,334,29
456,ls,0,0,0,45,1,0,0,Tue,1,334,29
457,ls,0,0,0,45,1,0,0,Tue,1,334,29
458,ls,0,0,0,45,1,0,0,Tue,1,334,29
459,ls,0,0,0,45,1,0,0,Tue,1,334,29
460,ls,0,0,0,45,1,0,0,Tue,1,334,29
