id,ride_style,speed,poster,staff,time,is_female,is_assistant,is_raining,day,week,total_passenger
355,ls,0,0,0,40,1,0,0,Tue,0,334
356,ls,0,0,0,40,0,0,0,Tue,0,334
357,rw,0,0,0,40,0,0,0,Tue,0,334
358,ls,0,0,0,40,0,0,0,Tue,0,334
359,ls,0,0,0,40,1,0,0,Tue,0,334
360,ls,0,0,0,40,1,0,0,Tue,0,334
361,ls,0,0,0,40,1,0,0,Tue,0,334
362,ls,0,0,0,40,0,0,0,Tue,0,334
363,ls,0,0,0,40,1,0,0,Tue,0,334
364,ls,0,0,0,41,0,0,0,Tue,0,334
365,lw,0,0,0,41,0,0,0,Tue,0,334
366,ls,0,0,0,41,1,0,0,Tue,0,334
367,ls,0,0,0,41,1,0,0,Tue,0,334
368,ls,0,0,0,41,1,0,0,Tue,0,334
369,ls,0,0,0,41,0,0,0,Tue,0,334
370,ls,0,0,0,41,0,0,0,Tue,0,334
371,ls,0,0,0,41,0,0,0,Tue,0,334
372,ls,0,0,0,41,1,0,0,Tue,0,334
373,ls,0,0,0,41,0,0,0,Tue,0,334
374,ls,0,0,0,41,1,0,0,Tue,0,334
375,ls,0,0,0,41,1,0,0,Tue,0,334
376,ls,0,0,0,41,0,0,0,Tue,0,334
377,ls,0,0,0,41,1,0,0,Tue,0,334
378,ls,0,0,0,41,1,0,0,Tue,0,334
379,ls,0,0,0,41,1,0,0,Tue,0,334
380,rw,0,0,0,42,1,0,0,Tue,0,334
381,ls,0,0,0,42,1,0,0,Tue,0,334
382,ls,0,0,0,42,1,0,0,Tue,0,334
383,ls,0,0,0,42,1,0,0,Tue,0,334
384,ls,0,0,0,42,1,0,0,Tue,0,334
385,ls,0,0,0,42,0,0,0,Tue,0,334
386,ls,0,0,0,42,1,0,0,Tue,0,334
387,ls,0,0,0,42,1,0,0,Tue,0,334
388,ls,0,0,0,42,1,0,0,Tue,0,334
389,ls,0,0,0,42,0,0,0,Tue,0,334
390,ls,0,0,0,42,1,0,0,Tue,0,334
391,ls,0,0,0,42,1,0,0,Tue,0,334
392,ls,0,0,0,42,0,0,0,Tue,0,334
393,ls,0,0,0,42,0,0,0,Tue,0,334
394,rw,0,0,0,43,0,0,0,Tue,0,334
395,rw,0,0,0,43,0,0,0,Tue,0,334
396,ls,0,0,0,43,1,0,0,Tue,0,334
397,ls,0,0,0,43,1,0,0,Tue,0,334
398,ls,0,0,0,43,1,0,0,Tue,0,334
399,rw,0,0,0,43,0,0,0,Tue,0,334
400,ls,0,0,0,43,0,0,0,Tue,0,334
401,ls,0,0,0,43,0,0,0,Tue,0,334
402,ls,0,0,0,43,0,0,0,Tue,0,334
403,ls,0,0,0,43,0,0,0,Tue,0,334
404,ls,0,0,0,43,0,0,0,Tue,0,334
405,ls,0,0,0,43,1,0,0,Tue,0,334
406,ls,0,0,0,43,0,0,0,Tue,0,334
407,ls,0,0,0,43,0,0,0,Tue,0,334
408,ls,0,0,0,43,1,0,0,Tue,0,334
409,ls,0,0,0,43,1,0,0,Tue,0,334
410,ls,0,0,0,44,1,0,0,Tue,0,334
411,ls,0,0,0,44,0,0,0,Tue,0,334
412,ls,0,0,0,44,0,0,0,Tue,0,334
413,ls,0,0,0,44,1,0,0,Tue,0,334
414,ls,0,0,0,44,0,0,0,Tue,0,334
415,ls,0,0,0,44,1,0,0,Tue,0,334
416,ls,0,0,0,44,0,0,0,Tue,0,334
417,ls,0,0,0,44,1,0,0,Tue,0,334
418,ls,0,0,0,44,1,0,0,Tue,0,334
419,ls,0,0,0,44,1,0,0,Tue,0,334
420,ls,0,0,0,44,0,0,0,Tue,0,334
421,ls,0,0,0,44,0,0,0,Tue,0,334
422,rw,0,0,0,44,0,0,0,Tue,0,334
423,ls,0,0,0,44,1,0,0,Tue,0,334
424,ls,0,0,0,44,0,0,0,Tue,0,334
425,rw,0,0,0,44,0,0,0,Tue,0,334
426,ls,0,0,0,44,0,0,0,Tue,0,334
427,rw,0,0,0,44,1,0,0,Tue,0,334
428,ls,0,0,0,44,0,0,0,Tue,0,334
429,ls,0,0,0,44,0,0,0,Tue,0,334
430,ls,0,0,0,44,1,0,0,Tue,0,334
431,ls,0,0,0,44,0,0,0,Tue,0,334
432,ls,0,0,0,44,1,0,0,Tue,0,334
433,ls,0,0,0,44,0,0,0,Tue,0,334
434,ls,0,0,0,44,1,0,0,Tue,0,334
435,ls,0,0,0,44,0,0,0,Tue,0,334
436,ls,0,0,0,44,1,0,0,Tue,0,334
437,rw,0,0,0,44,1,0,0,Tue,0,334
438,ls,0,0,0,44,0,0,0,Tue,0,334
439,rw,0,0,0,44,1,0,0,Tue,0,334
440,rw,0,0,0,44,1,0,0,Tue,0,334
441,ls,0,0,0,44,1,0,0,Tue,0,334
442,ls,0,0,0,44,1,0,0,Tue,0,334
443,ls,0,0,0,45,1,0,0,Tue,0,334
444,ls,0,0,0,45,1,0,0,Tue,0,334
445,ls,0,0,0,45,1,0,0,Tue,0,334
446,ls,0,0,0,45,1,0,0,Tue,0,334
447,ls,0,0,0,45,1,0,0,Tue,0,334
448,ls,0,0,0,45,1,0,0,Tue,0,334
449,ls,0,0,0,45,1,0,0,Tue,0,334
450,ls,0,0,0,45,1,0,0,Tue,0,334
451,ls,0,0,0,45,1,0,0,Tue,0,334
452,ls,0,0,0,45,1,0,0,Tue,0,334
453,ls,0,0,0,45,1,0,0,Tue,0,334
454,ls,0,0,0,45,1,0,0,Tue,0,334
455,ls,0,0,0,45,1,0,0,Tue,0,334
456,ls,0,0,0,45,1,0,0,Tue,0,334
457,ls,0,0,0,45,1,0,0,Tue,0,334
458,ls,0,0,0,45,1,0,0,Tue,0,334
459,ls,0,0,0,45,1,0,0,Tue,0,334
460,ls,0,0,0,45,1,0,0,Tue,0,334
461,rw,0,0,0,45,1,0,0,Tue,0,334
462,ls,0,0,0,45,1,0,0,Tue,0,334
463,ls,0,0,0,45,1,0,0,Tue,0,334
464,ls,0,0,0,45,1,0,0,Tue,0,334
465,ls,0,0,0,45,1,0,0,Tue,0,334
466,ls,0,0,0,45,1,0,0,Tue,0,334
467,ls,0,0,0,45,1,0,0,Tue,0,334
468,ls,0,0,0,45,1,0,0,Tue,0,334
469,ls,0,0,0,45,1,0,0,Tue,0,334
470,ls,0,0,0,45,1,0,0,Tue,0,334
471,ls,0,0,0,45,1,0,0,Tue,0,334
472,ls,0,0,0,46,1,0,0,Tue,0,334
473,rw,0,0,0,46,1,0,0,Tue,0,334
474,ls,0,0,0,46,0,0,0,Tue,0,334
475,ls,0,0,0,46,1,0,0,Tue,0,334
476,ls,0,0,0,46,0,0,0,Tue,0,334
477,ls,0,0,0,46,1,0,0,Tue,0,334
478,rw,0,0,0,46,1,0,0,Tue,0,334
479,ls,0,0,0,46,0,0,0,Tue,0,334
480,ls,0,0,0,46,1,0,0,Tue,0,334
481,ls,0,0,0,46,1,0,0,Tue,0,334
482,ls,0,0,0,46,1,0,0,Tue,0,334
483,ls,0,0,0,46,0,0,0,Tue,0,334
484,ls,0,0,0,46,1,0,0,Tue,0,334
485,ls,0,0,0,46,0,0,0,Tue,0,334
486,ls,0,0,0,46,1,0,0,Tue,0,334
487,ls,0,0,0,46,1,0,0,Tue,0,334
488,ls,0,0,0,46,0,0,0,Tue,0,334
489,ls,0,0,0,46,1,0,0,Tue,0,334
490,ls,0,0,0,46,0,0,0,Tue,0,334
491,ls,0,0,0,46,0,0,0,Tue,0,334
492,ls,0,0,0,46,1,0,0,Tue,0,334
493,ls,0,0,0,46,1,0,0,Tue,0,334
494,ls,0,0,0,46,1,0,0,Tue,0,334
495,ls,0,0,0,46,1,0,0,Tue,0,334
496,rw,0,0,0,46,1,0,0,Tue,0,334
497,ls,0,0,0,46,1,0,0,Tue,0,334
498,ls,0,0,0,46,1,0,0,Tue,0,334
